feature,importance,std
odm_071724_ortho.vari,0.13404955042316993,0.00046823596323482155
odm_071724_ortho.3,0.05116260160320234,4.511672683866345e-05
odm_071724_ortho.1.27x27mean,0.2243630561228706,0.00031687118024359504
odm_071724_dsm,0.7591386281965867,0.0007234295181149486
odm_071724_slope,0.05919474270542739,0.0001261943350212121
odm_071724_aspect,0.0021077213911072424,4.4268612932451136e-05
geomorphon,0.0003688775350490836,1.7084359024897788e-05
odm_071724_ortho.2.7x7stddev,0.005884804974786428,9.404549518386777e-05
odm_071724_pcurv,0.0001710188782346078,6.655472235723667e-06
odm_071724_tcurv,1.8419105429057226e-05,1.6641778688625854e-06
